Player,ESPN_Player_ID,IPL_2026_Team,Photo_URL,ESPN_Profile_URL,Team_Logo_Page_URL,PowerBI_Image_Category_Note
Jasprit Bumrah,625383,Mumbai Indians,https://a.espncdn.com/i/headshots/cricket/players/full/625383.png,https://www.espncricinfo.com/cricketers/jasprit-bumrah-625383,https://www.iplt20.com/teams/mumbai-indians,Use Photo_URL as Image URL. Team_Logo_Page_URL is official team page; direct logo asset URL varies by site.
Rashid Khan,793463,Gujarat Titans,https://a.espncdn.com/i/headshots/cricket/players/full/793463.png,https://www.espncricinfo.com/cricketers/rashid-khan-793463,https://www.iplt20.com/teams/gujarat-titans,Use Photo_URL as Image URL. Team_Logo_Page_URL is official team page; direct logo asset URL varies by site.
T Natarajan,802575,Delhi Capitals,https://a.espncdn.com/i/headshots/cricket/players/full/802575.png,https://www.espncricinfo.com/cricketers/t-natarajan-802575,https://www.iplt20.com/teams/delhi-capitals,Use Photo_URL as Image URL. Team_Logo_Page_URL is official team page; direct logo asset URL varies by site.
Yuzvendra Chahal,430246,Punjab Kings,https://a.espncdn.com/i/headshots/cricket/players/full/430246.png,https://www.espncricinfo.com/cricketers/yuzvendra-chahal-430246,https://www.iplt20.com/teams/punjab-kings,Use Photo_URL as Image URL. Team_Logo_Page_URL is official team page; direct logo asset URL varies by site.
Arshdeep Singh,1125976,Punjab Kings,https://a.espncdn.com/i/headshots/cricket/players/full/1125976.png,https://www.espncricinfo.com/cricketers/arshdeep-singh-1125976,https://www.iplt20.com/teams/punjab-kings,Use Photo_URL as Image URL. Team_Logo_Page_URL is official team page; direct logo asset URL varies by site.
Mohammed Siraj,940973,Gujarat Titans,https://a.espncdn.com/i/headshots/cricket/players/full/940973.png,https://www.espncricinfo.com/cricketers/mohammed-siraj-940973,https://www.iplt20.com/teams/gujarat-titans,Use Photo_URL as Image URL. Team_Logo_Page_URL is official team page; direct logo asset URL varies by site.
Kagiso Rabada,550215,Gujarat Titans,https://a.espncdn.com/i/headshots/cricket/players/full/550215.png,https://www.espncricinfo.com/cricketers/kagiso-rabada-550215,https://www.iplt20.com/teams/gujarat-titans,Use Photo_URL as Image URL. Team_Logo_Page_URL is official team page; direct logo asset URL varies by site.
Kuldeep Yadav,559235,Delhi Capitals,https://a.espncdn.com/i/headshots/cricket/players/full/559235.png,https://www.espncricinfo.com/cricketers/kuldeep-yadav-559235,https://www.iplt20.com/teams/delhi-capitals,Use Photo_URL as Image URL. Team_Logo_Page_URL is official team page; direct logo asset URL varies by site.
Pat Cummins,489889,Sunrisers Hyderabad,https://a.espncdn.com/i/headshots/cricket/players/full/489889.png,https://www.espncricinfo.com/cricketers/pat-cummins-489889,https://www.iplt20.com/teams/sunrisers-hyderabad,Use Photo_URL as Image URL. Team_Logo_Page_URL is official team page; direct logo asset URL varies by site.
Harshal Patel,390481,Sunrisers Hyderabad,https://a.espncdn.com/i/headshots/cricket/players/full/390481.png,https://www.espncricinfo.com/cricketers/harshal-patel-390481,https://www.iplt20.com/teams/sunrisers-hyderabad,Use Photo_URL as Image URL. Team_Logo_Page_URL is official team page; direct logo asset URL varies by site.
