season,Player,Player_ID,Team,Matches,Batting_Runs,Batting_Balls,Batting_Dismissals,Batting_Average,Strike_Rate,Fours,Sixes,Bowling_Balls,Overs,Bowling_Runs_Conceded,Bowling_Wickets,Bowling_Strike_Rate,Economy,Dot_Balls,Dot_Ball_Pct,Team_Matches,Team_Wins,Team_Losses,Team_No_Results,Team_Win_Pct,Team_Points,ESPN_Player_ID,Photo_URL,ESPN_Profile_URL
2007/08,CL White,d0513f63,Royal Challengers Bangalore,8,114,100,5,22.8,114.0,8,4,6,1.0,24,0,,24.0,0,0.0,14,4,10,0,28.57,8,d0513f63,https://a.espncdn.com/i/headshots/cricket/players/full/d0513f63.png,https://www.espncricinfo.com/cricketers/cl-white-d0513f63
2007/08,CRD Fernando,342d8ade,Mumbai Indians,5,2,1,1,2.0,200.0,0,0,120,20.0,160,10,12.0,8.0,49,40.83,14,7,7,0,50.0,14,342d8ade,https://a.espncdn.com/i/headshots/cricket/players/full/342d8ade.png,https://www.espncricinfo.com/cricketers/crd-fernando-342d8ade
2007/08,D Kalyankrishna,94bc776b,Deccan Chargers,3,3,8,1,3.0,37.5,0,0,48,8.0,87,2,24.0,10.88,10,20.83,14,2,12,0,14.29,4,94bc776b,https://a.espncdn.com/i/headshots/cricket/players/full/94bc776b.png,https://www.espncricinfo.com/cricketers/d-kalyankrishna-94bc776b
2007/08,D Salunkhe,0264c10e,Rajasthan Royals,6,33,24,1,33.0,137.5,5,0,47,7.83,78,1,47.0,9.96,13,27.66,16,13,3,0,81.25,26,0264c10e,https://a.espncdn.com/i/headshots/cricket/players/full/0264c10e.png,https://www.espncricinfo.com/cricketers/d-salunkhe-0264c10e
2007/08,DB Das,7050a1e7,Kolkata Knight Riders,6,103,94,6,17.17,109.57,9,5,0,,0,0,,,0,,13,6,7,0,46.15,12,7050a1e7,https://a.espncdn.com/i/headshots/cricket/players/full/7050a1e7.png,https://www.espncricinfo.com/cricketers/db-das-7050a1e7
2007/08,DB Ravi Teja,b720a5d6,Deccan Chargers,7,109,81,6,18.17,134.57,10,5,12,2.0,19,1,12.0,9.5,3,25.0,14,2,12,0,14.29,4,b720a5d6,https://a.espncdn.com/i/headshots/cricket/players/full/b720a5d6.png,https://www.espncricinfo.com/cricketers/db-ravi-teja-b720a5d6
2007/08,DJ Bravo,87e562a9,Mumbai Indians,9,178,131,6,29.67,135.88,19,5,171,28.5,232,11,15.55,8.14,66,38.6,14,7,7,0,50.0,14,87e562a9,https://a.espncdn.com/i/headshots/cricket/players/full/87e562a9.png,https://www.espncricinfo.com/cricketers/dj-bravo-87e562a9
2007/08,DJ Hussey,fd835ab3,Kolkata Knight Riders,13,319,258,11,29.0,123.64,19,17,78,13.0,130,2,39.0,10.0,24,30.77,13,6,7,0,46.15,12,fd835ab3,https://a.espncdn.com/i/headshots/cricket/players/full/fd835ab3.png,https://www.espncricinfo.com/cricketers/dj-hussey-fd835ab3
2007/08,DJ Thornely,7d3937ed,Mumbai Indians,6,39,53,3,13.0,73.58,2,2,42,7.0,40,3,14.0,5.71,19,45.24,14,7,7,0,50.0,14,7d3937ed,https://a.espncdn.com/i/headshots/cricket/players/full/7d3937ed.png,https://www.espncricinfo.com/cricketers/dj-thornely-7d3937ed
2007/08,DL Vettori,d7c6af50,Delhi Daredevils,2,0,0,0,,,0,0,48,8.0,54,2,24.0,6.75,16,33.33,14,7,7,0,50.0,14,d7c6af50,https://a.espncdn.com/i/headshots/cricket/players/full/d7c6af50.png,https://www.espncricinfo.com/cricketers/dl-vettori-d7c6af50
2007/08,DNT Zoysa,e0351c86,Deccan Chargers,3,11,9,1,11.0,122.22,1,0,66,11.0,99,2,33.0,9.0,24,36.36,14,2,12,0,14.29,4,e0351c86,https://a.espncdn.com/i/headshots/cricket/players/full/e0351c86.png,https://www.espncricinfo.com/cricketers/dnt-zoysa-e0351c86
2007/08,DP Vijaykumar,acd4f5dc,Deccan Chargers,9,1,1,0,,100.0,0,0,152,25.33,199,4,38.0,7.86,63,41.45,14,2,12,0,14.29,4,acd4f5dc,https://a.espncdn.com/i/headshots/cricket/players/full/acd4f5dc.png,https://www.espncricinfo.com/cricketers/dp-vijaykumar-acd4f5dc
2007/08,DPMD Jayawardene,d18f9182,Kings XI Punjab,13,179,131,9,19.89,136.64,15,7,0,,0,0,,,0,,15,10,5,0,66.67,20,d18f9182,https://a.espncdn.com/i/headshots/cricket/players/full/d18f9182.png,https://www.espncricinfo.com/cricketers/dpmd-jayawardene-d18f9182
2007/08,DR Smith,35205dfc,Mumbai Indians,4,45,40,2,22.5,112.5,5,1,66,11.0,83,5,13.2,7.55,25,37.88,14,7,7,0,50.0,14,35205dfc,https://a.espncdn.com/i/headshots/cricket/players/full/35205dfc.png,https://www.espncricinfo.com/cricketers/dr-smith-35205dfc
2007/08,DS Kulkarni,d2a989fc,Mumbai Indians,10,2,16,0,,12.5,0,0,177,29.5,236,11,16.09,8.0,77,43.5,14,7,7,0,50.0,14,d2a989fc,https://a.espncdn.com/i/headshots/cricket/players/full/d2a989fc.png,https://www.espncricinfo.com/cricketers/ds-kulkarni-d2a989fc
2007/08,DS Lehmann,53fe6ee4,Rajasthan Royals,2,18,18,2,9.0,100.0,3,0,0,,0,0,,,0,,16,13,3,0,81.25,26,53fe6ee4,https://a.espncdn.com/i/headshots/cricket/players/full/53fe6ee4.png,https://www.espncricinfo.com/cricketers/ds-lehmann-53fe6ee4
2007/08,DT Patil,f48cf4da,Royal Challengers Bangalore,2,13,13,1,13.0,100.0,1,0,0,,0,0,,,0,,14,4,10,0,28.57,8,f48cf4da,https://a.espncdn.com/i/headshots/cricket/players/full/f48cf4da.png,https://www.espncricinfo.com/cricketers/dt-patil-f48cf4da
2007/08,DW Steyn,8fd1a8f5,Royal Challengers Bangalore,10,2,5,2,1.0,40.0,0,0,228,38.0,252,10,22.8,6.63,116,50.88,14,4,10,0,28.57,8,8fd1a8f5,https://a.espncdn.com/i/headshots/cricket/players/full/8fd1a8f5.png,https://www.espncricinfo.com/cricketers/dw-steyn-8fd1a8f5
2007/08,G Gambhir,bb345e0b,Delhi Daredevils,14,534,378,14,38.14,141.27,68,8,0,,0,0,,,0,,14,7,7,0,50.0,14,bb345e0b,https://a.espncdn.com/i/headshots/cricket/players/full/bb345e0b.png,https://www.espncricinfo.com/cricketers/g-gambhir-bb345e0b
2007/08,GC Smith,72861603,Rajasthan Royals,11,441,361,12,36.75,122.16,54,8,0,,0,0,,,0,,16,13,3,0,81.25,26,72861603,https://a.espncdn.com/i/headshots/cricket/players/full/72861603.png,https://www.espncricinfo.com/cricketers/gc-smith-72861603
2007/08,GD McGrath,ee7d0c82,Delhi Daredevils,14,4,5,1,4.0,80.0,1,0,324,54.0,357,12,27.0,6.61,153,47.22,14,7,7,0,50.0,14,ee7d0c82,https://a.espncdn.com/i/headshots/cricket/players/full/ee7d0c82.png,https://www.espncricinfo.com/cricketers/gd-mcgrath-ee7d0c82
2007/08,Gagandeep Singh,890de8cb,Kings XI Punjab,4,0,0,0,,,0,0,84,14.0,141,3,28.0,10.07,25,29.76,15,10,5,0,66.67,20,890de8cb,https://a.espncdn.com/i/headshots/cricket/players/full/890de8cb.png,https://www.espncricinfo.com/cricketers/gagandeep-singh-890de8cb
2007/08,H Das,0ed0cdbf,Deccan Chargers,1,2,5,1,2.0,40.0,0,0,0,,0,0,,,0,,14,2,12,0,14.29,4,0ed0cdbf,https://a.espncdn.com/i/headshots/cricket/players/full/0ed0cdbf.png,https://www.espncricinfo.com/cricketers/h-das-0ed0cdbf
2007/08,HH Gibbs,e1d1b294,Deccan Chargers,9,167,153,9,18.56,109.15,17,8,0,,0,0,,,0,,14,2,12,0,14.29,4,e1d1b294,https://a.espncdn.com/i/headshots/cricket/players/full/e1d1b294.png,https://www.espncricinfo.com/cricketers/hh-gibbs-e1d1b294
2007/08,Harbhajan Singh,8b5b6769,Mumbai Indians,3,30,17,2,15.0,176.47,1,3,60,10.0,82,5,12.0,8.2,16,26.67,14,7,7,0,50.0,14,8b5b6769,https://a.espncdn.com/i/headshots/cricket/players/full/8b5b6769.png,https://www.espncricinfo.com/cricketers/harbhajan-singh-8b5b6769
2007/08,I Sharma,5bb1a1c4,Kolkata Knight Riders,13,11,11,1,11.0,100.0,1,0,253,42.17,329,7,36.14,7.8,110,43.48,13,6,7,0,46.15,12,5bb1a1c4,https://a.espncdn.com/i/headshots/cricket/players/full/5bb1a1c4.png,https://www.espncricinfo.com/cricketers/i-sharma-5bb1a1c4
2007/08,IK Pathan,5fa06777,Kings XI Punjab,14,131,115,5,26.2,113.91,9,6,318,53.0,350,15,21.2,6.6,150,47.17,15,10,5,0,66.67,20,5fa06777,https://a.espncdn.com/i/headshots/cricket/players/full/5fa06777.png,https://www.espncricinfo.com/cricketers/ik-pathan-5fa06777
2007/08,Iqbal Abdulla,85aae393,Kolkata Knight Riders,1,1,2,0,,50.0,0,0,18,3.0,22,0,,7.33,6,33.33,13,6,7,0,46.15,12,85aae393,https://a.espncdn.com/i/headshots/cricket/players/full/85aae393.png,https://www.espncricinfo.com/cricketers/iqbal-abdulla-85aae393
2007/08,J Arunkumar,f663ef00,Royal Challengers Bangalore,3,23,23,3,7.67,100.0,5,0,0,,0,0,,,0,,14,4,10,0,28.57,8,f663ef00,https://a.espncdn.com/i/headshots/cricket/players/full/f663ef00.png,https://www.espncricinfo.com/cricketers/j-arunkumar-f663ef00
2007/08,JA Morkel,c3d35165,Chennai Super Kings,13,241,162,8,30.12,148.77,18,14,288,48.0,399,17,16.94,8.31,100,34.72,16,9,7,0,56.25,18,c3d35165,https://a.espncdn.com/i/headshots/cricket/players/full/c3d35165.png,https://www.espncricinfo.com/cricketers/ja-morkel-c3d35165
2007/08,JDP Oram,3eac9d95,Chennai Super Kings,4,18,12,1,18.0,150.0,1,1,96,16.0,149,3,32.0,9.31,32,33.33,16,9,7,0,56.25,18,3eac9d95,https://a.espncdn.com/i/headshots/cricket/players/full/3eac9d95.png,https://www.espncricinfo.com/cricketers/jdp-oram-3eac9d95
2007/08,JH Kallis,86dc8f2e,Royal Challengers Bangalore,11,199,183,11,18.09,108.74,23,4,206,34.33,311,4,51.5,9.06,55,26.7,14,4,10,0,28.57,8,86dc8f2e,https://a.espncdn.com/i/headshots/cricket/players/full/86dc8f2e.png,https://www.espncricinfo.com/cricketers/jh-kallis-86dc8f2e
2007/08,JR Hopes,2498e163,Kings XI Punjab,11,221,148,11,20.09,149.32,27,8,168,28.0,276,7,24.0,9.86,52,30.95,15,10,5,0,66.67,20,2498e163,https://a.espncdn.com/i/headshots/cricket/players/full/2498e163.png,https://www.espncricinfo.com/cricketers/jr-hopes-2498e163
2007/08,Joginder Sharma,9f961c14,Chennai Super Kings,8,16,11,2,8.0,145.45,1,1,148,24.67,239,8,18.5,9.69,43,29.05,16,9,7,0,56.25,18,9f961c14,https://a.espncdn.com/i/headshots/cricket/players/full/9f961c14.png,https://www.espncricinfo.com/cricketers/joginder-sharma-9f961c14
2007/08,K Goel,a1f1829d,Kings XI Punjab,7,76,78,5,15.2,97.44,7,4,12,2.0,25,0,,12.5,2,16.67,15,10,5,0,66.67,20,a1f1829d,https://a.espncdn.com/i/headshots/cricket/players/full/a1f1829d.png,https://www.espncricinfo.com/cricketers/k-goel-a1f1829d
2007/08,KC Sangakkara,6b71e6cf,Kings XI Punjab,10,320,197,10,32.0,162.44,41,8,0,,0,0,,,0,,15,10,5,0,66.67,20,6b71e6cf,https://a.espncdn.com/i/headshots/cricket/players/full/6b71e6cf.png,https://www.espncricinfo.com/cricketers/kc-sangakkara-6b71e6cf
2007/08,KD Karthik,c03f1114,Delhi Daredevils,13,145,107,7,20.71,135.51,13,4,0,,0,0,,,0,,14,7,7,0,50.0,14,c03f1114,https://a.espncdn.com/i/headshots/cricket/players/full/c03f1114.png,https://www.espncricinfo.com/cricketers/kd-karthik-c03f1114
2007/08,Kamran Akmal,ff077124,Rajasthan Royals,6,128,77,4,32.0,166.23,13,8,0,,0,0,,,0,,16,13,3,0,81.25,26,ff077124,https://a.espncdn.com/i/headshots/cricket/players/full/ff077124.png,https://www.espncricinfo.com/cricketers/kamran-akmal-ff077124
2007/08,L Balaji,b2b50355,Chennai Super Kings,9,0,4,1,0.0,0.0,0,0,198,33.0,286,11,18.0,8.67,60,30.3,16,9,7,0,56.25,18,b2b50355,https://a.espncdn.com/i/headshots/cricket/players/full/b2b50355.png,https://www.espncricinfo.com/cricketers/l-balaji-b2b50355
2007/08,L Ronchi,0fa5042b,Mumbai Indians,4,34,32,2,17.0,106.25,6,1,0,,0,0,,,0,,14,7,7,0,50.0,14,0fa5042b,https://a.espncdn.com/i/headshots/cricket/players/full/0fa5042b.png,https://www.espncricinfo.com/cricketers/l-ronchi-0fa5042b
2007/08,LA Pomersbach,b63ab531,Kings XI Punjab,5,152,99,1,152.0,153.54,13,9,0,,0,0,,,0,,15,10,5,0,66.67,20,b63ab531,https://a.espncdn.com/i/headshots/cricket/players/full/b63ab531.png,https://www.espncricinfo.com/cricketers/la-pomersbach-b63ab531
2007/08,LPC Silva,1be70c88,Deccan Chargers,3,40,26,2,20.0,153.85,5,1,6,1.0,21,0,,21.0,0,0.0,14,2,12,0,14.29,4,1be70c88,https://a.espncdn.com/i/headshots/cricket/players/full/1be70c88.png,https://www.espncricinfo.com/cricketers/lpc-silva-1be70c88
2007/08,LR Shukla,b1451597,Kolkata Knight Riders,13,163,122,8,20.38,133.61,17,5,72,12.0,124,6,12.0,10.33,18,25.0,13,6,7,0,46.15,12,b1451597,https://a.espncdn.com/i/headshots/cricket/players/full/b1451597.png,https://www.espncricinfo.com/cricketers/lr-shukla-b1451597
2007/08,LRPL Taylor,b61a3e1a,Royal Challengers Bangalore,4,149,81,4,37.25,183.95,13,10,0,,0,0,,,0,,14,4,10,0,28.57,8,b61a3e1a,https://a.espncdn.com/i/headshots/cricket/players/full/b61a3e1a.png,https://www.espncricinfo.com/cricketers/lrpl-taylor-b61a3e1a
2007/08,M Kaif,d84378a4,Rajasthan Royals,16,176,170,9,19.56,103.53,14,6,0,,0,0,,,0,,16,13,3,0,81.25,26,d84378a4,https://a.espncdn.com/i/headshots/cricket/players/full/d84378a4.png,https://www.espncricinfo.com/cricketers/m-kaif-d84378a4
2007/08,M Kartik,abfeb126,Kolkata Knight Riders,6,30,27,3,10.0,111.11,3,0,88,14.67,127,3,29.33,8.66,31,35.23,13,6,7,0,46.15,12,abfeb126,https://a.espncdn.com/i/headshots/cricket/players/full/abfeb126.png,https://www.espncricinfo.com/cricketers/m-kartik-abfeb126
2007/08,M Manhas,c42aaf71,Delhi Daredevils,1,0,0,0,,,0,0,0,,0,0,,,0,,14,7,7,0,50.0,14,c42aaf71,https://a.espncdn.com/i/headshots/cricket/players/full/c42aaf71.png,https://www.espncricinfo.com/cricketers/m-manhas-c42aaf71
2007/08,M Muralitharan,4ba44e19,Chennai Super Kings,15,0,3,1,0.0,0.0,0,0,348,58.0,404,11,31.64,6.97,127,36.49,16,9,7,0,56.25,18,4ba44e19,https://a.espncdn.com/i/headshots/cricket/players/full/4ba44e19.png,https://www.espncricinfo.com/cricketers/m-muralitharan-4ba44e19
2007/08,M Ntini,20a941bb,Chennai Super Kings,9,11,18,1,11.0,61.11,2,0,210,35.0,242,7,30.0,6.91,99,47.14,16,9,7,0,56.25,18,20a941bb,https://a.espncdn.com/i/headshots/cricket/players/full/20a941bb.png,https://www.espncricinfo.com/cricketers/m-ntini-20a941bb
2007/08,M Rawat,de8d3876,Rajasthan Royals,11,34,39,4,8.5,87.18,3,1,0,,0,0,,,0,,16,13,3,0,81.25,26,de8d3876,https://a.espncdn.com/i/headshots/cricket/players/full/de8d3876.png,https://www.espncricinfo.com/cricketers/m-rawat-de8d3876
2007/08,MA Khote,0d232ffd,Mumbai Indians,4,24,22,2,12.0,109.09,2,1,30,5.0,51,2,15.0,10.2,5,16.67,14,7,7,0,50.0,14,0d232ffd,https://a.espncdn.com/i/headshots/cricket/players/full/0d232ffd.png,https://www.espncricinfo.com/cricketers/ma-khote-0d232ffd
2007/08,MEK Hussey,48fd7349,Chennai Super Kings,4,168,100,3,56.0,168.0,12,11,0,,0,0,,,0,,16,9,7,0,56.25,18,48fd7349,https://a.espncdn.com/i/headshots/cricket/players/full/48fd7349.png,https://www.espncricinfo.com/cricketers/mek-hussey-48fd7349
2007/08,MF Maharoof,ab89348d,Delhi Daredevils,10,125,79,6,20.83,158.23,10,7,216,36.0,249,15,14.4,6.92,84,38.89,14,7,7,0,50.0,14,ab89348d,https://a.espncdn.com/i/headshots/cricket/players/full/ab89348d.png,https://www.espncricinfo.com/cricketers/mf-maharoof-ab89348d
2007/08,MK Pandey,93b4fc78,Mumbai Indians,3,3,9,2,1.5,33.33,0,0,0,,0,0,,,0,,14,7,7,0,50.0,14,93b4fc78,https://a.espncdn.com/i/headshots/cricket/players/full/93b4fc78.png,https://www.espncricinfo.com/cricketers/mk-pandey-93b4fc78
2007/08,MK Tiwary,26e5cabf,Delhi Daredevils,9,104,85,3,34.67,122.35,16,0,0,,0,0,,,0,,14,7,7,0,50.0,14,26e5cabf,https://a.espncdn.com/i/headshots/cricket/players/full/26e5cabf.png,https://www.espncricinfo.com/cricketers/mk-tiwary-26e5cabf
2007/08,ML Hayden,d8699ab7,Chennai Super Kings,4,189,127,2,94.5,148.82,24,6,0,,0,0,,,0,,16,9,7,0,56.25,18,d8699ab7,https://a.espncdn.com/i/headshots/cricket/players/full/d8699ab7.png,https://www.espncricinfo.com/cricketers/ml-hayden-d8699ab7
2007/08,MM Patel,f0f628c7,Rajasthan Royals,15,0,1,0,,0.0,0,0,330,55.0,420,14,23.57,7.64,141,42.73,16,13,3,0,81.25,26,f0f628c7,https://a.espncdn.com/i/headshots/cricket/players/full/f0f628c7.png,https://www.espncricinfo.com/cricketers/mm-patel-f0f628c7
2007/08,MS Dhoni,4a8a2e3b,Chennai Super Kings,16,414,310,11,37.64,133.55,38,15,0,,0,0,,,0,,16,9,7,0,56.25,18,4a8a2e3b,https://a.espncdn.com/i/headshots/cricket/players/full/4a8a2e3b.png,https://www.espncricinfo.com/cricketers/ms-dhoni-4a8a2e3b
2007/08,MS Gony,ae78bc32,Chennai Super Kings,16,35,22,1,35.0,159.09,2,3,360,60.0,443,17,21.18,7.38,154,42.78,16,9,7,0,56.25,18,ae78bc32,https://a.espncdn.com/i/headshots/cricket/players/full/ae78bc32.png,https://www.espncricinfo.com/cricketers/ms-gony-ae78bc32
2007/08,MV Boucher,f3cb53a1,Royal Challengers Bangalore,10,225,177,8,28.12,127.12,24,6,0,,0,0,,,0,,14,4,10,0,28.57,8,f3cb53a1,https://a.espncdn.com/i/headshots/cricket/players/full/f3cb53a1.png,https://www.espncricinfo.com/cricketers/mv-boucher-f3cb53a1
2007/08,Misbah-ul-Haq,7eae4418,Royal Challengers Bangalore,8,117,81,9,13.0,144.44,10,6,0,,0,0,,,0,,14,4,10,0,28.57,8,7eae4418,https://a.espncdn.com/i/headshots/cricket/players/full/7eae4418.png,https://www.espncricinfo.com/cricketers/misbah-ul-haq-7eae4418
2007/08,Mohammad Asif,e03b66ec,Delhi Daredevils,8,3,6,2,1.5,50.0,0,0,192,32.0,296,8,24.0,9.25,64,33.33,14,7,7,0,50.0,14,e03b66ec,https://a.espncdn.com/i/headshots/cricket/players/full/e03b66ec.png,https://www.espncricinfo.com/cricketers/mohammad-asif-e03b66ec
